x (mm), y (mm), z (mm), B_x (uT), B_y (uT), B_z (uT)
9.145729064941406,0.0,10,0.0,-0.4989149570465088,-0.1541086584329605
9.246231079101562,0.0,10,0.0,-0.5035171508789062,-0.13485436141490936
9.346734046936035,0.0,10,0.0,-0.5073348879814148,-0.11597983539104462
9.447236061096191,0.0,10,0.0,-0.5104563236236572,-0.09754180908203125
9.547739028930664,0.0,10,0.0,-0.5129606127738953,-0.07936108112335205
9.64824104309082,0.0,10,0.0,-0.5149005651473999,-0.061490293592214584
9.748744010925293,0.0,10,0.0,-0.5163217186927795,-0.04376029968261719
9.84924602508545,0.0,10,0.0,-0.5172522068023682,-0.026222525164484978
9.949748992919922,0.0,10,0.0,-0.5177131295204163,-0.00871402770280838
10.050251007080078,0.0,10,0.0,-0.5177131295204163,0.00871402770280838
10.15075397491455,0.0,10,0.0,-0.5172522068023682,0.026222551241517067
10.251255989074707,0.0,10,0.0,-0.5163217186927795,0.04376029968261719
10.35175895690918,0.0,10,0.0,-0.5149005055427551,0.061490293592214584
10.452260971069336,0.0,10,0.0,-0.5129606127738953,0.07936108112335205
10.552763938903809,0.0,10,0.0,-0.5104563236236572,0.09754183888435364
10.653265953063965,0.0,10,0.0,-0.5073348879814148,0.11597985774278641
10.753768920898438,0.0,10,0.0,-0.5035171508789062,0.13485436141490936
10.854270935058594,0.0,10,0.0,-0.4989149570465088,0.1541086584329605
10.954773902893066,0.0,10,0.0,-0.4933992624282837,0.17393457889556885
11.055275917053223,0.0,10,0.0,-0.4868263006210327,0.19426383078098297
11.155778884887695,0.0,10,0.0,-0.47898679971694946,0.21529963612556458
11.256280899047852,0.0,10,0.0,-0.4696442782878876,0.236942857503891
11.356783866882324,0.0,10,0.0,-0.45844942331314087,0.25939419865608215
11.457286834716797,0.0,10,0.0,-0.4449978470802307,0.2824719250202179
11.557788848876953,0.0,10,0.0,-0.4286695718765259,0.30631622672080994
11.658291816711426,0.0,10,0.0,-0.4087131917476654,0.33049464225769043
11.758793830871582,0.0,10,0.0,-0.3838774859905243,0.3548022508621216
11.859296798706055,0.0,10,0.0,-0.35255518555641174,0.37768295407295227
11.959798812866211,0.0,10,0.0,-0.31208235025405884,0.3960014879703522
12.060300827026367,0.0,10,0.0,-0.26507341861724854,0.4001886248588562
12.16080379486084,0.0,10,0.0,-0.2245316505432129,0.39027342200279236
12.261306762695312,0.0,10,0.0,-0.1930711716413498,0.37578800320625305
12.361808776855469,0.0,10,0.0,-0.1680268794298172,0.35992592573165894
12.462310791015625,0.0,10,0.0,-0.14779029786586761,0.3442062735557556
12.562814712524414,0.0,10,0.0,-0.13110791146755219,0.3288930654525757
12.66331672668457,0.0,10,0.0,-0.11722636967897415,0.3143814504146576
12.763818740844727,0.0,10,0.0,-0.10552186518907547,0.30059194564819336
12.8643217086792,0.0,10,0.0,-0.09558700770139694,0.287668913602829
12.964824676513672,0.0,10,0.0,-0.08706723898649216,0.27547430992126465
13.065326690673828,0.0,10,0.0,-0.07972174137830734,0.26406973600387573
13.165828704833984,0.0,10,0.0,-0.07333410531282425,0.25331735610961914
13.266331672668457,0.0,10,0.0,-0.06775445491075516,0.24324798583984375
13.36683464050293,0.0,10,0.0,-0.06284427642822266,0.2337384819984436
13.467336654663086,0.0,10,0.0,-0.05850711837410927,0.22480830550193787
13.567838668823242,0.0,10,0.0,-0.05465099215507507,0.21635128557682037
13.668341636657715,0.0,10,0.0,-0.051211968064308167,0.2083829939365387
13.768844604492188,0.0,10,0.0,-0.048127271234989166,0.20081284642219543
13.869346618652344,0.0,10,0.0,-0.0453532412648201,0.19365538656711578
13.9698486328125,0.0,10,0.0,-0.04284589737653732,0.18683341145515442
14.070351600646973,0.0,10,0.0,-0.04057485610246658,0.18036140501499176
14.170854568481445,0.0,10,0.0,-0.03850845247507095,0.17417307198047638
14.271356582641602,0.0,10,0.0,-0.03662504255771637,0.1682831197977066
14.371858596801758,0.0,10,0.0,-0.034901369363069534,0.1626342386007309
14.47236156463623,0.0,10,0.0,-0.033321838825941086,0.15724137425422668
14.572864532470703,0.0,10,0.0,-0.03186887875199318,0.15205436944961548
